,EthnicGroup,ParentEduc,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Gender_female,Gender_male,LunchType_free/reduced,LunchType_standard
30,1,5,1,2,2,1,5.0,2,0,63,65,61,1.0,0.0,0.0,1.0
31,4,3,1,0,2,1,1.0,1,0,56,73,66,1.0,0.0,1.0,0.0
32,2,5,1,1,2,0,2.0,0,0,40,42,38,0.0,1.0,0.0,1.0
33,4,5,1,0,2,1,0.0,1,0,97,87,82,0.0,1.0,0.0,1.0
34,4,0,0,2,2,0,2.0,1,0,81,81,79,0.0,1.0,0.0,1.0
35,3,0,1,1,1,0,2.0,0,0,76,82,85,1.0,0.0,0.0,1.0
36,3,6,1,1,1,1,1.0,0,0,51,64,60,1.0,0.0,1.0,0.0
37,3,0,0,1,1,0,1.0,1,0,77,91,90,1.0,0.0,1.0,0.0
38,1,0,1,2,1,1,5.0,1,0,58,56,58,0.0,1.0,1.0,0.0
39,2,0,1,1,0,1,0.0,1,0,53,60,52,0.0,1.0,1.0,0.0
40,2,0,1,0,1,0,1.0,2,0,59,74,69,1.0,0.0,0.0,1.0
41,1,5,1,1,1,1,3.0,1,0,60,65,67,0.0,1.0,1.0,0.0
42,4,0,1,1,2,1,5.0,1,1,48,55,52,1.0,0.0,1.0,0.0
43,1,0,1,2,2,1,3.0,1,1,63,53,55,0.0,1.0,0.0,1.0
44,2,2,1,1,1,1,2.0,0,0,67,72,77,1.0,0.0,0.0,1.0
45,2,0,0,1,1,0,2.0,0,1,76,68,68,0.0,1.0,1.0,0.0
46,2,5,1,0,1,1,3.0,1,2,56,45,43,0.0,1.0,0.0,1.0
47,3,2,1,2,2,1,2.0,1,0,88,78,75,0.0,1.0,0.0,1.0
48,2,6,0,1,1,1,2.0,0,2,75,86,90,1.0,0.0,1.0,0.0
49,2,2,1,0,2,1,2.0,0,0,33,41,43,1.0,0.0,1.0,0.0
50,4,0,0,1,2,1,3.0,1,2,84,86,87,1.0,0.0,0.0,1.0
51,3,0,1,2,2,0,2.0,0,0,52,55,49,0.0,1.0,0.0,1.0
52,3,4,0,1,1,0,1.0,0,2,61,60,60,0.0,1.0,0.0,1.0
53,2,6,1,2,1,1,3.0,1,2,0,17,10,1.0,0.0,1.0,0.0
54,0,6,1,1,2,1,2.0,1,0,39,39,34,0.0,1.0,1.0,0.0
55,0,0,1,1,2,1,5.0,0,0,62,61,55,0.0,1.0,1.0,0.0
56,3,6,1,1,2,1,0.0,1,0,59,58,59,1.0,0.0,0.0,1.0
57,1,6,1,1,0,1,1.0,0,1,63,62,58,0.0,1.0,0.0,1.0
58,3,6,1,1,2,1,4.0,1,0,45,37,37,0.0,1.0,1.0,0.0
59,2,5,1,1,1,0,3.0,1,0,61,73,75,1.0,0.0,0.0,1.0
60,1,0,1,0,1,0,3.0,1,0,62,58,57,0.0,1.0,1.0,0.0
61,2,0,1,2,2,1,3.0,1,0,39,64,57,1.0,0.0,0.0,1.0
62,3,5,0,0,2,1,3.0,0,2,64,55,64,0.0,1.0,0.0,1.0
63,0,0,1,2,1,0,1.0,0,0,42,51,49,1.0,0.0,1.0,0.0
64,2,6,1,0,0,1,3.0,1,0,59,56,54,0.0,1.0,1.0,0.0
65,2,6,1,1,2,1,2.0,0,1,47,48,40,0.0,1.0,0.0,1.0
66,1,0,1,0,2,0,2.0,1,0,44,41,38,0.0,1.0,1.0,0.0
67,4,6,1,1,2,0,5.0,1,0,28,25,21,0.0,1.0,0.0,1.0
68,0,4,0,1,1,1,2.0,2,0,82,79,83,0.0,1.0,0.0,1.0
69,3,6,0,0,2,1,2.0,1,2,62,75,73,1.0,0.0,0.0,1.0
70,4,3,1,0,0,1,1.0,1,0,60,68,68,1.0,0.0,0.0,1.0
71,1,0,1,1,1,0,0.0,0,2,49,50,52,1.0,0.0,0.0,1.0
72,1,2,1,1,2,1,0.0,0,0,49,45,45,0.0,1.0,1.0,0.0
73,0,5,0,1,2,0,2.0,1,0,50,47,54,0.0,1.0,1.0,0.0
74,4,0,1,1,1,1,0.0,0,0,74,64,64,0.0,1.0,0.0,1.0
75,2,5,1,0,2,1,0.0,0,0,73,80,82,1.0,0.0,0.0,1.0
76,2,5,1,1,2,1,2.0,1,1,73,81,86,1.0,0.0,1.0,0.0
77,3,0,1,2,2,1,0.0,0,0,71,71,74,1.0,0.0,0.0,1.0
78,0,5,1,0,1,1,3.0,1,1,57,69,67,1.0,0.0,0.0,1.0
79,3,6,1,2,2,1,2.0,0,2,75,87,83,1.0,0.0,0.0,1.0
80,2,2,1,0,1,0,4.0,2,0,27,34,36,0.0,1.0,1.0,0.0
81,2,2,1,0,2,0,1.0,2,1,68,77,69,0.0,1.0,0.0,1.0
82,2,0,0,1,1,1,3.0,0,2,45,46,52,0.0,1.0,1.0,0.0
83,1,5,1,1,1,1,4.0,0,0,81,87,94,1.0,0.0,0.0,1.0
84,1,6,0,1,1,1,5.0,1,0,63,65,61,0.0,1.0,0.0,1.0
85,2,5,0,1,0,1,0.0,1,1,59,69,66,1.0,0.0,0.0,1.0
86,3,5,1,2,1,1,2.0,2,2,61,69,64,1.0,0.0,1.0,0.0
87,3,1,1,1,1,1,3.0,1,1,64,66,62,1.0,0.0,0.0,1.0
88,1,5,1,1,2,0,7.0,1,0,79,67,67,0.0,1.0,0.0,1.0
89,3,1,0,2,2,0,1.0,0,0,68,74,74,0.0,1.0,0.0,1.0
90,3,0,1,1,1,1,3.0,1,0,87,92,91,1.0,0.0,0.0,1.0
91,1,2,0,1,1,0,3.0,1,0,61,44,48,0.0,1.0,0.0,1.0
92,2,5,0,1,1,1,1.0,1,2,100,88,94,0.0,1.0,0.0,1.0
93,2,5,1,1,2,1,0.0,1,0,58,67,72,1.0,0.0,0.0,1.0
94,3,3,1,1,2,0,3.0,0,0,87,100,100,1.0,0.0,0.0,1.0
95,4,4,0,2,2,1,0.0,1,0,66,63,64,0.0,1.0,0.0,1.0
96,1,0,1,1,2,1,2.0,1,0,52,76,70,1.0,0.0,1.0,0.0
97,1,6,1,2,1,0,3.0,1,0,72,64,73,1.0,0.0,0.0,1.0
98,3,0,0,2,2,1,4.0,1,2,79,90,99,1.0,0.0,1.0,0.0
99,2,2,1,2,1,0,6.0,2,0,63,55,50,0.0,1.0,0.0,1.0
100,0,0,1,1,2,1,0.0,1,0,54,53,47,0.0,1.0,0.0,1.0
101,3,5,1,1,0,1,1.0,1,1,47,56,51,1.0,0.0,0.0,1.0
102,4,1,0,1,1,1,3.0,1,1,98,99,100,1.0,0.0,0.0,1.0
103,2,2,1,1,2,1,4.0,0,0,84,77,74,0.0,1.0,0.0,1.0
104,1,1,1,2,0,0,1.0,1,0,72,83,79,1.0,0.0,1.0,0.0
105,3,1,1,1,0,0,2.0,0,0,75,80,77,1.0,0.0,0.0,1.0
106,3,6,1,2,1,1,0.0,0,2,54,64,63,1.0,0.0,0.0,1.0
107,2,5,1,0,2,0,3.0,1,0,55,69,65,1.0,0.0,0.0,1.0
108,2,1,0,1,0,1,1.0,1,0,76,90,86,1.0,0.0,0.0,1.0
109,1,0,0,1,2,1,3.0,1,1,88,87,90,0.0,1.0,0.0,1.0
110,2,5,0,2,1,1,1.0,2,0,90,94,95,1.0,0.0,0.0,1.0
111,3,2,1,1,2,0,3.0,0,0,63,57,56,0.0,1.0,1.0,0.0
112,4,5,1,2,1,0,3.0,1,1,82,79,73,0.0,1.0,0.0,1.0
113,1,2,1,2,0,1,2.0,1,2,86,94,85,1.0,0.0,0.0,1.0
114,3,5,1,1,1,0,3.0,1,1,64,76,74,0.0,1.0,0.0,1.0
115,3,3,1,2,0,1,2.0,0,1,77,81,72,0.0,1.0,0.0,1.0
116,0,1,1,1,1,1,0.0,1,0,52,49,52,1.0,0.0,0.0,1.0
117,3,3,1,2,2,0,1.0,1,1,87,84,82,0.0,1.0,0.0,1.0
118,2,6,0,2,1,1,1.0,0,1,52,36,40,0.0,1.0,1.0,0.0
119,2,5,0,1,1,1,2.0,1,0,89,75,71,0.0,1.0,1.0,0.0
120,2,5,0,1,0,0,6.0,2,1,70,78,80,1.0,0.0,0.0,1.0
121,3,1,0,1,2,1,1.0,0,2,76,80,76,0.0,1.0,1.0,0.0
122,2,1,1,1,2,1,1.0,2,1,56,54,47,0.0,1.0,0.0,1.0
123,1,6,0,0,2,1,1.0,0,0,51,54,41,0.0,1.0,0.0,1.0
124,4,2,1,0,2,1,0.0,1,1,67,54,54,0.0,1.0,0.0,1.0
125,2,0,1,1,2,1,1.0,0,0,59,66,67,1.0,0.0,0.0,1.0
126,3,5,0,1,2,1,0.0,0,2,73,61,70,0.0,1.0,0.0,1.0
127,3,6,1,1,2,0,1.0,1,0,76,72,71,1.0,0.0,0.0,1.0
128,2,5,1,1,1,0,2.0,0,0,60,62,65,1.0,0.0,1.0,0.0
129,0,2,1,2,2,0,1.0,1,0,57,43,47,0.0,1.0,0.0,1.0
130,3,5,1,0,2,1,3.0,0,2,90,74,79,0.0,1.0,0.0,1.0
131,2,5,1,2,1,1,1.0,1,1,21,38,33,1.0,0.0,1.0,0.0
132,3,1,0,1,2,1,1.0,0,1,65,73,79,1.0,0.0,0.0,1.0
133,4,0,0,1,1,0,3.0,0,0,100,100,95,0.0,1.0,1.0,0.0
134,0,6,0,1,2,0,2.0,0,0,62,67,69,0.0,1.0,0.0,1.0
135,1,0,0,2,2,1,2.0,1,1,57,68,64,1.0,0.0,0.0,1.0
136,3,1,1,1,2,0,1.0,2,0,54,49,47,0.0,1.0,0.0,1.0
137,3,6,1,2,0,0,2.0,2,1,58,65,58,0.0,1.0,0.0,1.0
138,2,5,0,1,1,1,3.0,1,1,69,88,88,1.0,0.0,0.0,1.0
139,4,2,0,1,1,1,1.0,1,0,67,75,79,1.0,0.0,1.0,0.0
140,1,4,1,1,2,1,2.0,1,1,58,59,58,0.0,1.0,1.0,0.0
141,1,0,1,0,1,1,2.0,0,0,62,87,89,1.0,0.0,0.0,1.0
142,3,0,1,1,1,0,3.0,1,2,70,63,66,0.0,1.0,1.0,0.0
143,1,0,0,2,2,1,2.0,0,0,82,78,74,0.0,1.0,1.0,0.0
144,4,5,0,1,2,1,3.0,1,0,75,88,85,1.0,0.0,1.0,0.0
145,1,3,1,2,0,0,2.0,1,0,48,53,52,0.0,1.0,1.0,0.0
146,2,2,1,0,2,1,1.0,1,0,52,53,49,0.0,1.0,0.0,1.0
147,4,3,1,1,0,1,3.0,0,1,76,89,86,1.0,0.0,0.0,1.0
148,2,1,0,1,2,1,0.0,1,0,96,100,100,1.0,0.0,0.0,1.0
149,2,2,0,2,2,1,5.0,0,0,53,51,51,0.0,1.0,1.0,0.0
150,1,3,0,1,1,0,1.0,0,2,62,79,83,1.0,0.0,1.0,0.0
151,1,2,0,1,1,1,2.0,0,0,70,84,79,1.0,0.0,0.0,1.0
152,0,2,0,0,1,1,5.0,1,2,76,75,77,0.0,1.0,0.0,1.0
153,4,6,1,1,2,0,3.0,1,1,91,86,76,0.0,1.0,0.0,1.0
154,3,5,1,2,0,1,3.0,1,0,76,84,78,1.0,0.0,0.0,1.0
155,2,0,1,1,2,1,2.0,1,0,63,67,70,1.0,0.0,0.0,1.0
156,2,1,0,1,2,0,1.0,1,1,41,50,52,1.0,0.0,1.0,0.0
157,2,3,0,0,2,1,1.0,1,0,81,92,89,1.0,0.0,0.0,1.0
158,1,2,0,1,2,0,2.0,1,1,44,53,56,1.0,0.0,1.0,0.0
159,2,0,0,1,1,1,2.0,1,1,70,76,77,1.0,0.0,0.0,1.0
160,1,3,0,0,1,1,2.0,1,0,54,72,65,1.0,0.0,1.0,0.0
161,3,6,0,0,1,1,0.0,1,0,99,100,100,1.0,0.0,0.0,1.0
162,2,3,0,2,2,1,2.0,0,1,60,68,75,0.0,1.0,1.0,0.0
163,2,5,1,2,2,1,1.0,0,0,46,64,66,1.0,0.0,1.0,0.0
164,4,2,1,1,2,1,3.0,0,0,50,50,47,1.0,0.0,0.0,1.0
165,3,0,1,2,2,0,2.0,0,1,63,67,68,1.0,0.0,0.0,1.0
166,2,0,0,1,0,1,5.0,0,1,61,65,62,0.0,1.0,1.0,0.0
167,4,2,1,1,0,1,1.0,1,1,75,73,62,0.0,1.0,0.0,1.0
168,3,6,0,1,2,0,4.0,0,0,62,66,68,0.0,1.0,0.0,1.0
169,1,6,1,1,1,0,3.0,1,1,47,51,45,0.0,1.0,1.0,0.0
170,2,1,1,2,2,1,1.0,1,1,74,86,85,1.0,0.0,0.0,1.0
171,4,0,1,1,2,1,2.0,1,0,66,65,69,1.0,0.0,0.0,1.0
172,3,5,0,1,2,0,2.0,1,1,73,81,77,0.0,1.0,0.0,1.0
173,1,6,1,2,2,0,3.0,0,0,62,64,66,1.0,0.0,0.0,1.0
174,3,5,0,1,1,1,4.0,2,0,79,62,63,0.0,1.0,0.0,1.0
175,2,3,0,1,1,1,1.0,1,1,69,85,87,1.0,0.0,0.0,1.0
176,3,0,1,1,1,0,4.0,1,1,60,54,52,0.0,1.0,0.0,1.0
177,2,4,0,1,0,1,1.0,1,0,57,67,63,0.0,1.0,1.0,0.0
178,1,5,1,3,1,1,3.0,2,2,47,54,57,1.0,0.0,1.0,0.0
179,1,1,1,1,1,1,3.0,0,0,80,80,77,1.0,0.0,1.0,0.0
180,2,0,0,2,1,0,1.0,0,1,66,83,86,1.0,0.0,0.0,1.0
181,3,5,1,0,2,1,3.0,1,1,63,79,75,1.0,0.0,1.0,0.0
182,2,0,1,1,2,1,2.0,1,0,69,77,69,0.0,1.0,0.0,1.0
183,2,0,1,1,1,1,2.0,1,0,58,70,69,1.0,0.0,0.0,1.0
184,2,5,1,2,1,1,1.0,2,1,58,40,42,0.0,1.0,0.0,1.0
185,4,1,1,1,1,1,4.0,1,0,84,62,63,0.0,1.0,0.0,1.0
186,4,2,0,1,1,0,2.0,1,0,83,81,77,0.0,1.0,0.0,1.0
187,1,5,1,1,1,1,1.0,0,1,73,80,76,1.0,0.0,1.0,0.0
188,1,5,1,2,2,0,2.0,2,0,58,61,66,1.0,0.0,1.0,0.0
189,3,6,0,3,2,1,3.0,1,1,77,77,77,0.0,1.0,1.0,0.0
190,2,5,1,1,2,1,3.0,1,0,35,28,27,0.0,1.0,1.0,0.0
191,2,2,1,0,2,1,2.0,1,0,42,62,60,1.0,0.0,1.0,0.0
192,2,0,0,2,1,0,1.0,1,0,61,51,57,0.0,1.0,1.0,0.0
193,4,2,1,1,2,1,1.0,0,0,87,91,81,0.0,1.0,0.0,1.0
194,1,6,0,1,1,0,2.0,0,0,86,84,76,0.0,1.0,0.0,1.0
195,4,0,0,1,2,1,3.0,1,1,80,84,86,1.0,0.0,1.0,0.0
196,2,2,1,1,1,0,3.0,2,1,33,41,39,1.0,0.0,1.0,0.0
197,1,2,1,1,2,0,2.0,1,1,64,75,68,0.0,1.0,1.0,0.0
198,1,6,0,2,0,0,1.0,2,0,59,55,54,0.0,1.0,0.0,1.0
199,3,2,0,3,1,1,4.0,1,0,57,69,75,1.0,0.0,0.0,1.0
200,1,0,1,1,2,1,0.0,1,2,89,86,74,0.0,1.0,0.0,1.0
201,2,6,1,0,2,0,3.0,2,0,55,65,62,1.0,0.0,1.0,0.0
202,3,6,1,1,1,0,3.0,1,0,88,81,76,0.0,1.0,0.0,1.0
203,4,3,1,1,2,0,2.0,0,1,43,55,52,1.0,0.0,1.0,0.0
204,2,5,1,1,2,1,5.0,1,0,72,72,71,1.0,0.0,0.0,1.0
205,3,2,1,2,1,1,0.0,1,0,58,50,55,0.0,1.0,0.0,1.0
206,0,4,1,0,2,0,26.0,1,0,68,72,64,0.0,1.0,1.0,0.0
207,2,5,0,1,1,1,3.0,1,2,93,97,98,1.0,0.0,0.0,1.0
208,3,5,1,1,1,1,0.0,2,0,78,64,67,0.0,1.0,0.0,1.0
209,1,1,1,1,2,1,2.0,1,0,67,86,83,1.0,0.0,0.0,1.0
210,4,6,1,0,2,1,3.0,1,2,94,88,79,0.0,1.0,0.0,1.0
211,2,1,0,1,2,0,3.0,1,2,85,83,85,0.0,1.0,0.0,1.0
212,3,0,1,1,1,1,1.0,1,2,84,77,80,0.0,1.0,0.0,1.0
213,3,1,1,0,1,0,2.0,1,1,62,65,67,0.0,1.0,1.0,0.0
214,3,6,1,1,2,1,4.0,1,1,62,59,72,1.0,0.0,0.0,1.0
215,1,5,1,1,1,1,2.0,0,2,57,53,53,0.0,1.0,0.0,1.0
216,2,0,1,1,2,1,1.0,0,0,84,80,80,0.0,1.0,0.0,1.0
217,4,1,1,2,1,0,4.0,0,0,82,84,85,1.0,0.0,0.0,1.0
218,4,5,1,2,1,0,2.0,1,1,58,50,43,0.0,1.0,0.0,1.0
219,3,6,1,0,1,1,1.0,1,1,74,73,69,0.0,1.0,0.0,1.0
220,2,0,1,1,2,0,3.0,0,1,82,74,69,0.0,1.0,0.0,1.0
221,4,0,1,1,1,0,2.0,1,0,91,77,75,0.0,1.0,0.0,1.0
222,1,2,0,2,2,1,1.0,0,0,58,70,68,1.0,0.0,0.0,1.0
223,1,2,1,1,2,1,2.0,0,1,63,63,60,1.0,0.0,0.0,1.0
224,2,2,1,1,2,0,2.0,1,2,70,60,54,0.0,1.0,0.0,1.0
225,0,6,0,2,2,1,2.0,1,0,47,49,49,0.0,1.0,0.0,1.0
226,1,6,0,2,2,1,3.0,0,0,60,70,70,1.0,0.0,0.0,1.0
227,3,3,1,1,2,0,3.0,1,0,80,80,72,0.0,1.0,0.0,1.0
228,3,2,1,1,2,1,0.0,0,0,54,52,52,0.0,1.0,0.0,1.0
229,4,5,1,2,2,0,1.0,1,0,62,73,70,1.0,0.0,0.0,1.0
230,2,0,1,2,2,0,5.0,0,1,62,71,66,1.0,0.0,1.0,0.0
231,2,6,0,1,2,1,1.0,0,2,65,80,78,1.0,0.0,1.0,0.0
232,2,5,0,1,2,0,2.0,1,0,79,79,78,0.0,1.0,0.0,1.0
233,2,6,1,1,1,0,2.0,0,0,45,50,52,1.0,0.0,1.0,0.0
234,4,2,1,2,2,1,1.0,0,0,99,93,90,1.0,0.0,0.0,1.0
235,3,2,1,1,2,0,2.0,0,0,76,73,68,0.0,1.0,0.0,1.0
236,3,6,1,0,2,0,1.0,1,1,57,41,40,0.0,1.0,1.0,0.0
237,2,1,1,1,2,0,2.0,1,1,61,73,79,1.0,0.0,0.0,1.0
238,3,2,1,1,1,0,3.0,1,0,71,73,78,1.0,0.0,0.0,1.0
239,3,0,0,1,1,1,5.0,1,2,93,94,99,1.0,0.0,0.0,1.0
240,4,5,1,1,2,0,2.0,1,0,71,76,70,1.0,0.0,1.0,0.0
241,2,1,1,1,2,1,2.0,1,0,69,63,61,0.0,1.0,0.0,1.0
242,2,5,1,2,1,1,1.0,2,1,57,48,42,0.0,1.0,0.0,1.0
243,3,0,1,2,1,1,2.0,0,0,48,53,59,1.0,0.0,1.0,0.0
244,3,5,1,1,2,0,2.0,0,0,65,70,71,1.0,0.0,0.0,1.0
245,2,1,1,1,2,0,3.0,1,0,83,78,73,0.0,1.0,0.0,1.0
246,2,6,0,1,2,1,3.0,0,1,82,90,91,1.0,0.0,0.0,1.0
247,4,4,0,2,2,0,4.0,1,1,57,62,73,1.0,0.0,0.0,1.0
248,2,6,1,1,2,1,1.0,1,0,65,86,80,1.0,0.0,1.0,0.0
249,1,1,1,3,2,0,2.0,1,0,73,56,57,0.0,1.0,1.0,0.0
250,3,2,1,0,2,0,2.0,0,0,45,48,46,0.0,1.0,0.0,1.0
251,3,1,1,0,1,0,3.0,1,0,75,80,86,1.0,0.0,1.0,0.0
252,3,5,0,1,0,1,2.0,1,0,67,76,76,1.0,0.0,1.0,0.0
253,2,6,1,1,1,1,0.0,0,1,36,45,46,1.0,0.0,0.0,1.0
254,1,0,0,1,0,1,3.0,1,0,78,80,79,0.0,1.0,0.0,1.0
255,4,0,0,1,1,1,0.0,0,0,99,83,90,0.0,1.0,0.0,1.0
256,1,6,1,1,2,0,1.0,1,1,64,87,80,1.0,0.0,0.0,1.0
257,1,1,1,2,2,1,0.0,2,1,85,73,74,0.0,1.0,1.0,0.0
258,2,6,0,1,2,1,1.0,1,2,79,77,78,0.0,1.0,0.0,1.0
259,2,0,1,1,2,0,2.0,1,0,76,70,68,0.0,1.0,0.0,1.0
260,3,6,1,1,2,1,2.0,0,1,83,71,68,0.0,1.0,0.0,1.0
261,2,6,0,1,0,1,1.0,0,0,61,59,55,0.0,1.0,0.0,1.0
262,4,1,1,1,2,1,2.0,1,2,66,74,76,1.0,0.0,0.0,1.0
263,3,2,0,2,1,1,3.0,1,0,80,78,82,0.0,1.0,1.0,0.0
264,1,0,1,1,0,1,1.0,1,2,66,61,59,0.0,1.0,1.0,0.0
265,2,6,0,3,1,0,2.0,1,0,47,41,44,0.0,1.0,0.0,1.0
266,2,0,0,2,1,0,1.0,1,0,73,75,69,0.0,1.0,0.0,1.0
267,2,4,0,2,1,0,2.0,0,1,39,45,50,0.0,1.0,1.0,0.0
268,3,0,1,1,1,0,2.0,2,1,89,86,75,0.0,1.0,1.0,0.0
269,0,5,0,1,0,1,2.0,0,1,76,75,77,0.0,1.0,1.0,0.0
270,3,6,1,0,1,0,4.0,1,1,55,53,52,0.0,1.0,1.0,0.0
271,2,0,0,2,0,1,5.0,1,2,66,83,80,1.0,0.0,0.0,1.0
272,1,0,1,1,1,1,1.0,1,0,82,77,65,0.0,1.0,0.0,1.0
273,2,0,0,1,1,1,2.0,1,0,76,76,85,1.0,0.0,0.0,1.0
274,0,5,1,1,2,1,7.0,0,0,69,67,69,0.0,1.0,0.0,1.0
275,4,5,0,0,1,1,5.0,0,0,100,88,83,0.0,1.0,0.0,1.0
276,2,6,1,2,1,0,2.0,2,0,52,52,45,0.0,1.0,0.0,1.0
277,1,0,1,1,1,0,3.0,0,2,56,73,70,1.0,0.0,1.0,0.0
278,3,2,1,2,1,1,5.0,2,1,48,56,52,1.0,0.0,1.0,0.0
279,1,0,1,1,2,0,2.0,1,0,73,76,80,1.0,0.0,0.0,1.0
280,1,1,1,1,0,1,3.0,1,1,62,58,54,0.0,1.0,0.0,1.0
281,3,1,0,2,2,1,0.0,0,0,67,61,68,0.0,1.0,0.0,1.0
282,2,0,0,2,2,1,2.0,0,2,70,68,70,1.0,0.0,1.0,0.0
283,2,2,1,1,1,0,3.0,0,0,73,66,66,0.0,1.0,0.0,1.0
284,3,3,0,3,0,1,3.0,0,0,74,80,88,1.0,0.0,0.0,1.0
285,2,0,1,2,2,0,1.0,1,0,83,72,78,0.0,1.0,0.0,1.0
286,1,1,1,1,2,1,2.0,0,1,61,69,67,0.0,1.0,0.0,1.0
287,3,0,1,2,1,0,1.0,1,1,55,64,63,1.0,0.0,1.0,0.0
288,2,2,1,0,2,1,2.0,2,1,64,77,82,1.0,0.0,1.0,0.0
289,4,2,1,1,0,0,3.0,0,2,74,85,78,1.0,0.0,0.0,1.0
290,2,5,1,1,1,1,2.0,0,1,70,80,80,1.0,0.0,0.0,1.0
291,2,6,1,1,2,1,5.0,0,0,40,52,51,1.0,0.0,1.0,0.0
292,2,2,1,0,2,0,1.0,2,1,39,45,42,1.0,0.0,1.0,0.0
293,2,5,1,2,2,1,3.0,1,0,82,90,94,1.0,0.0,0.0,1.0
294,2,5,1,1,2,1,1.0,1,0,61,61,62,0.0,1.0,0.0,1.0
295,0,5,1,1,1,1,2.0,1,2,29,23,19,0.0,1.0,1.0,0.0
296,2,0,0,1,2,1,5.0,1,0,82,75,77,0.0,1.0,0.0,1.0
297,1,6,1,1,2,1,2.0,1,1,39,54,49,1.0,0.0,0.0,1.0
298,2,2,1,2,1,1,2.0,1,1,70,59,61,0.0,1.0,0.0,1.0
299,2,0,1,1,2,0,3.0,0,1,45,36,34,0.0,1.0,0.0,1.0
300,4,0,0,1,0,0,3.0,1,2,61,55,52,0.0,1.0,0.0,1.0
301,1,0,1,2,2,1,1.0,1,0,90,78,81,0.0,1.0,0.0,1.0
302,2,1,1,1,2,1,1.0,2,0,83,93,95,1.0,0.0,0.0,1.0
303,1,5,1,1,1,1,2.0,2,0,62,69,67,1.0,0.0,1.0,0.0
304,3,6,0,1,1,0,2.0,0,0,78,71,70,0.0,1.0,0.0,1.0
305,2,0,1,2,1,1,2.0,2,0,50,51,44,0.0,1.0,0.0,1.0
306,1,6,1,2,2,0,3.0,1,1,23,37,26,1.0,0.0,1.0,0.0
307,3,6,0,1,2,1,3.0,1,0,35,55,60,1.0,0.0,1.0,0.0
308,2,2,1,1,1,1,1.0,1,2,61,62,54,0.0,1.0,1.0,0.0
309,2,4,1,1,1,1,0.0,2,0,62,74,64,1.0,0.0,0.0,1.0
310,1,4,0,2,2,1,1.0,1,1,66,74,72,1.0,0.0,0.0,1.0
311,3,0,0,2,2,1,3.0,0,1,64,70,65,0.0,1.0,0.0,1.0
